k;Detector;Keypoint1-GT;Keypoint2;Detect Time;1K Detect Time;Descriptor;Descriptor1-GT;Descriptor2;Descript Time;1K Descript Time;Norm.;Matcher;Inliers;All Matches;Match Time;Total Time;1K Match Tot. Time;1K Inliers Time;Recall;Precision;Repeatibility;F1-Score;Reprojection Error;3D Points
2;fast;9175.0;7618.0;0.004701719;0.0006171854817537411;latch;8418.0;6805.0;0.008655469;0.0012719278471711977;HAM;Flann;239.0;8418.0;0.076794375;0.090151563;0.010709380256593015;0.3772031924686193;0.026049046321525885;0.028391541933951058;0.031373063796271985;0.027169897118172002;nan;
2;fast;nan;nan;nan;nan;vgg;nan;nan;nan;nan;HAM;Flann;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
2;fast;9175.0;7618.0;0.004701719;0.0006171854817537411;beblid;9175.0;7618.0;0.041833907;0.005491455368863219;HAM;Flann;360.0;9175.0;0.120167084;0.16670270999999998;0.01816923269754768;0.4630630833333333;0.03923705722070845;0.03923705722070845;0.04725649776844316;0.03923705722070845;nan;
2;fast;9175.0;7618.0;0.004701719;0.0006171854817537411;teblid;9175.0;7618.0;0.027057031;0.0035517236807561035;HAM;Flann;251.0;9175.0;0.133306355;0.165065105;0.017990747138964577;0.6576299003984063;0.027356948228882835;0.027356948228882835;0.03294828038855343;0.027356948228882835;nan;
2;fast;9175.0;7618.0;0.004701719;0.0006171854817537411;boost;9175.0;7618.0;1.336777239;0.17547614058808084;HAM;Flann;260.0;9175.0;0.146700468;1.4881794259999999;0.162199392479564;5.723767023076922;0.028337874659400544;0.028337874659400544;0.034129692832764506;0.028337874659400544;nan;
2;mser;nan;nan;nan;nan;sift;nan;nan;nan;nan;HAM;Flann;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
2;mser;nan;nan;nan;nan;akaze;nan;nan;nan;nan;HAM;Flann;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
2;mser;1008.0;692.0;0.324995833;0.46964715751445085;orb;885.0;580.0;0.00374276;0.006453034482758621;HAM;Flann;56.0;885.0;0.01050125;0.33923984300000004;0.3833218564971752;6.057854339285715;0.05555555555555555;0.06327683615819209;0.08092485549132948;0.05916534601162176;nan;
2;mser;1008.0;692.0;0.324995833;0.46964715751445085;brisk;894.0;595.0;0.008821093;0.014825366386554623;HAM;Flann;35.0;894.0;0.010822447;0.344639373;0.38550265436241615;9.84683922857143;0.034722222222222224;0.039149888143176735;0.05057803468208093;0.036803364879074665;nan;
2;mser;nan;nan;nan;nan;kaze;nan;nan;nan;nan;HAM;Flann;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
