Detector;Keypoint1;Keypoint2;1K Detect Time;Descriptor;Descriptor1;Descriptor2;1K Descript Time;Norm.;Matcher;Inliers;All Matches;Total Time;1K Match Tot. Time;1K Inliers Time;Recall;Precision;Repeatibility;F1-Score;Reprojection Error;3DPoints
agast;6676.0;3818.6;0.0023651556484184794;boost;6676.0;3818.6;0.16516995159942993;HAM;BF;2507.0;2585.6;0.9964082284;0.3824638697556462;0.3959600093993389;0.37552426602756145;0.9658988895638373;0.6557376453693116;0.5284542452798733;nan;
gftt;nan;nan;nan;sift;nan;nan;nan;HAM;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
gftt;nan;nan;nan;akaze;nan;nan;nan;HAM;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
gftt;7291.0;4424.2;0.005382671333471904;orb;5731.0;3422.8;0.0022845283902130234;HAM;BF;101.8;2663.0;0.32458799979999997;0.12253753037458588;3.216525047587178;0.013962419421204224;0.03836074630625733;0.023014574236711695;0.02031518142602539;nan;
gftt;7291.0;4424.2;0.005382671333471904;brisk;6593.0;4011.4;0.01045085525101715;HAM;BF;91.6;2585.2;0.5235203540000001;0.204814466057302;5.782143687992866;0.012563434371142504;0.036171710739584376;0.020974133289044926;0.018488948358342465;nan;
gftt;nan;nan;nan;kaze;nan;nan;nan;HAM;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
gftt;nan;nan;nan;daisy;nan;nan;nan;HAM;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
gftt;7291.0;4424.2;0.005382671333471904;freak;6196.0;3725.2;0.009719754060038326;HAM;BF;84.2;2202.8;0.4610749896;0.21097954992251616;5.514917207014941;0.011548484432862433;0.03844884684750337;0.01902955258919713;0.017622099433916693;nan;
gftt;7291.0;4424.2;0.005382671333471904;brief;5888.0;3517.6;0.0020953129725733315;HAM;BF;100.2;2570.4;0.3124537602;0.12262622980200462;3.121924199145925;0.013742970785900425;0.04016312868379786;0.023107935782180174;0.02030501333562073;nan;
gftt;7291.0;4424.2;0.005382671333471904;lucid;7291.0;4424.2;0.004120636602905746;HAM;BF;57.0;1152.8;1.026866312;0.9190983257334937;18.57163936145743;0.007817857632697846;0.05008500071639488;0.012764446001445445;0.013412345144732888;nan;
gftt;7291.0;4424.2;0.005382671333471904;latch;6036.0;3616.4;0.0011583258003031768;HAM;BF;80.6;1856.8;0.3600366556;0.19338951248233904;4.5453258610548195;0.011054725003428884;0.042963386817891386;0.018104902424700024;0.017533462062010036;nan;
gftt;nan;nan;nan;vgg;nan;nan;nan;HAM;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
gftt;7291.0;4424.2;0.005382671333471904;beblid;7291.0;4424.2;0.005093418861206224;HAM;BF;2982.2;3162.2;0.59554476;0.1895898951972067;0.20184576748254454;0.40902482512686866;0.9401054228039658;0.6694129924814811;0.5652982208433437;nan;
gftt;7291.0;4424.2;0.005382671333471904;teblid;7291.0;4424.2;0.0029835948024737853;HAM;BF;2908.0;3131.8;0.4997332084;0.16110387861676098;0.17483437977779964;0.39884789466465503;0.9233712042315991;0.6513452367938403;0.552476618546858;nan;
gftt;7291.0;4424.2;0.005382671333471904;boost;7291.0;4424.2;0.16320510586042863;HAM;BF;2640.4;2872.0;1.2072806243999998;0.423353897805882;0.4635416088098917;0.3621451104100947;0.9145823712532308;0.5904795537622227;0.5141304213918073;nan;
