k;Detector;Keypoint1-GT;Keypoint2;Detect Time;1K Detect Time;Descriptor;Descriptor1-GT;Descriptor2;Descript Time;1K Descript Time;Norm.;Matcher;Match Rate;Inliers;All Matches;Match Time;Total Time;1K Match Tot. Time;1K Inliers Time;Recall;Precision;Repeatibility;F1-Score
5;mser;768.0;758.0;0.303655093;0.4006003865435356;teblid;768.0;758.0;0.001170141;0.0015437216358839048;HAM;Flann;10.9375;14.0;128.0;0.008262731;0.313087965;2.4459997265625;22.363426071428574;0.018229166666666668;0.109375;0.018469656992084433;0.03125000000000001
5;mser;768.0;758.0;0.303655093;0.4006003865435356;boost;768.0;758.0;0.011171259;0.014737808707124008;HAM;Flann;8.75912408759124;12.0;137.0;0.009499888;0.32432624;2.367344817518248;27.027186666666665;0.015625;0.08759124087591241;0.0158311345646438;0.026519337016574586
5;agast;nan;nan;nan;nan;sift;nan;nan;nan;nan;HAM;Flann;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
5;agast;nan;nan;nan;nan;akaze;nan;nan;nan;nan;HAM;Flann;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
5;agast;4040.0;4046.0;0.003666594;0.0009062268907563025;orb;3385.0;3383.0;0.006306562;0.0018641921371563702;HAM;Flann;6.8014705882352935;37.0;544.0;0.071600239;0.08157339499999999;0.14995109375;2.2046863513513513;0.009158415841584158;0.06801470588235294;0.009158415841584158;0.01614310645724258
5;agast;4040.0;4046.0;0.003666594;0.0009062268907563025;brisk;3661.0;3661.0;0.030000776;0.008194694345807156;HAM;Flann;4.378958964472597;159.0;3631.0;0.152109333;0.18577670300000002;0.0511640603139631;1.1684069371069183;0.03935643564356436;0.04378958964472597;0.03935643564356436;0.04145482987876418
5;agast;nan;nan;nan;nan;kaze;nan;nan;nan;nan;HAM;Flann;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
5;agast;nan;nan;nan;nan;daisy;nan;nan;nan;nan;HAM;Flann;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
5;agast;4040.0;4046.0;0.003666594;0.0009062268907563025;freak;3482.0;3482.0;0.016756183;0.004812229465824239;HAM;Flann;3.832442067736185;129.0;3366.0;0.186529154;0.206951931;0.061483045454545464;1.6042785348837212;0.03193069306930693;0.03832442067736185;0.03193069306930693;0.03483661895760194
5;agast;4040.0;4046.0;0.003666594;0.0009062268907563025;brief;3418.0;3418.0;0.007406881;0.0021670219426565243;HAM;Flann;4.696132596685083;34.0;724.0;0.051615827;0.062689302;0.08658743370165746;1.843803;0.008415841584158416;0.04696132596685083;0.008415841584158416;0.014273719563392108
5;agast;4040.0;4046.0;0.003666594;0.0009062268907563025;lucid;4040.0;4046.0;0.016063883;0.003970312160158181;HAM;Flann;100.0;4004.0;4004.0;0.386660021;0.40639049800000004;0.10149612837162839;0.10149612837162839;0.9910891089108911;1.0;0.9910891089108911;0.9955246146195922
5;agast;4040.0;4046.0;0.003666594;0.0009062268907563025;latch;3441.0;3441.0;0.003671524;0.0010669933158965418;HAM;Flann;3.8834951456310676;48.0;1236.0;0.026789775;0.034127893;0.027611563915857604;0.7109977708333334;0.011881188118811881;0.038834951456310676;0.011881188118811881;0.01819560272934041
5;agast;nan;nan;nan;nan;vgg;nan;nan;nan;nan;HAM;Flann;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
5;agast;4040.0;4046.0;0.003666594;0.0009062268907563025;beblid;4040.0;4046.0;0.004560289;0.001127110479485912;HAM;Flann;6.211180124223603;30.0;483.0;0.102757316;0.110984199;0.229780950310559;3.6994733;0.007425742574257425;0.062111801242236024;0.007425742574257425;0.013265531726730045
5;agast;4040.0;4046.0;0.003666594;0.0009062268907563025;teblid;4040.0;4046.0;0.002408414;0.0005952580326248146;HAM;Flann;7.301587301587302;46.0;630.0;0.081206495;0.08728150300000001;0.13854206825396828;1.8974239782608697;0.011386138613861386;0.07301587301587302;0.011386138613861386;0.019700214132762312
5;agast;4040.0;4046.0;0.003666594;0.0009062268907563025;boost;4040.0;4046.0;0.043481217;0.010746717004448838;HAM;Flann;5.415162454873646;30.0;554.0;0.11199365;0.159141461;0.2872589548736462;5.3047153666666675;0.007425742574257425;0.05415162454873646;0.007425742574257425;0.013060513713539399
5;gftt;nan;nan;nan;nan;sift;nan;nan;nan;nan;HAM;Flann;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
5;gftt;nan;nan;nan;nan;akaze;nan;nan;nan;nan;HAM;Flann;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
5;gftt;10534.0;10581.0;0.015231392;0.0014395040166335887;orb;8803.0;8810.0;0.01352605;0.001535306469920545;HAM;Flann;3.2577903682719547;46.0;1412.0;0.38902706;0.417784502;0.2958813753541077;9.082271782608696;0.004366812227074236;0.032577903682719546;0.004366812227074236;0.007701322618449689
5;gftt;10534.0;10581.0;0.015231392;0.0014395040166335887;brisk;9659.0;9677.0;0.078918373;0.008155251937583962;HAM;Flann;7.13171847385383;686.0;9619.0;0.975340046;1.069489811;0.11118513473334027;1.5590230481049563;0.06512246060375926;0.0713171847385383;0.06512246060375926;0.06807919416464049
5;gftt;nan;nan;nan;nan;kaze;nan;nan;nan;nan;HAM;Flann;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
5;gftt;nan;nan;nan;nan;daisy;nan;nan;nan;nan;HAM;Flann;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
5;gftt;10534.0;10581.0;0.015231392;0.0014395040166335887;freak;9158.0;9158.0;0.047844479;0.005224337082332387;HAM;Flann;7.881441562815763;702.0;8907.0;1.402400742;1.4654766129999999;0.16453088727966766;2.0875735227920225;0.06664135181317637;0.07881441562815762;0.06664135181317637;0.07221850727843218
5;gftt;10534.0;10581.0;0.015231392;0.0014395040166335887;brief;8885.0;8900.0;0.018429947;0.0020707805617977528;HAM;Flann;3.2978723404255317;62.0;1880.0;0.242409347;0.276070686;0.1468461095744681;4.452753;0.005885703436491361;0.03297872340425532;0.005885703436491361;0.009988722410182052
5;gftt;10534.0;10581.0;0.015231392;0.0014395040166335887;lucid;10534.0;10581.0;0.037940865;0.003585754182024383;HAM;Flann;100.0;10378.0;10378.0;1.23600388;1.2891761369999999;0.1242220212950472;0.1242220212950472;0.985190810708183;1.0;0.985190810708183;0.9925401683244071
5;gftt;10534.0;10581.0;0.015231392;0.0014395040166335887;latch;9007.0;9022.0;0.00848121;0.0009400587452892928;HAM;Flann;2.587209302325581;89.0;3440.0;0.074274951;0.097987553;0.02848475377906977;1.1009837415730337;0.00844883235238276;0.025872093023255813;0.00844883235238276;0.0127379418920853
5;gftt;nan;nan;nan;nan;vgg;nan;nan;nan;nan;HAM;Flann;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
5;gftt;10534.0;10581.0;0.015231392;0.0014395040166335887;beblid;10534.0;10581.0;0.013193959;0.0012469482090539646;HAM;Flann;2.212628170534269;41.0;1853.0;0.826083486;0.854508837;0.4611488596869941;20.84167895121951;0.003892158724131384;0.022126281705342688;0.003892158724131384;0.0066198433841931055
5;gftt;10534.0;10581.0;0.015231392;0.0014395040166335887;teblid;10534.0;10581.0;0.007777805;0.0007350727719497212;HAM;Flann;2.782608695652174;64.0;2300.0;0.659876382;0.682885579;0.2969067734782609;10.670087171875;0.006075564837668502;0.02782608695652174;0.006075564837668502;0.009973507869721053
5;gftt;10534.0;10581.0;0.015231392;0.0014395040166335887;boost;10534.0;10581.0;0.104731067;0.009898031093469425;HAM;Flann;2.589331952356292;50.0;1931.0;0.514659366;0.634621825;0.3286493138270326;12.6924365;0.004746535029428517;0.02589331952356292;0.004746535029428517;0.008022462896109105
5;gftt_harris;nan;nan;nan;nan;sift;nan;nan;nan;nan;HAM;Flann;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
5;gftt_harris;nan;nan;nan;nan;akaze;nan;nan;nan;nan;HAM;Flann;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
5;gftt_harris;2717.0;2733.0;0.014106392;0.005161504573728503;orb;2241.0;2239.0;0.004793817;0.0021410527020991514;HAM;Flann;5.10752688172043;19.0;372.0;0.036058252;0.054958461;0.14773779838709677;2.8925505789473687;0.006993006993006993;0.051075268817204304;0.006993006993006993;0.012301715765619942
5;gftt_harris;2717.0;2733.0;0.014106392;0.005161504573728503;brisk;2487.0;2486.0;0.021924726;0.008819278358809331;HAM;Flann;17.27896649172386;428.0;2477.0;0.087579236;0.123610354;0.04990325151392814;0.288809238317757;0.15752668384247331;0.1727896649172386;0.15752668384247331;0.1648055448594532
5;gftt_harris;nan;nan;nan;nan;kaze;nan;nan;nan;nan;HAM;Flann;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
5;gftt_harris;nan;nan;nan;nan;daisy;nan;nan;nan;nan;HAM;Flann;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
5;gftt_harris;2717.0;2733.0;0.014106392;0.005161504573728503;freak;2335.0;2335.0;0.012092932;0.005178985867237688;HAM;Flann;18.42677096914385;424.0;2301.0;0.115471059;0.141670383;0.06156904954367666;0.33412826179245286;0.15605447184394552;0.1842677096914385;0.15605447184394552;0.1689916301315265
5;gftt_harris;2717.0;2733.0;0.014106392;0.005161504573728503;brief;2265.0;2263.0;0.005334627;0.0023573252319929296;HAM;Flann;4.761904761904762;25.0;525.0;0.029701516;0.049142535;0.09360482857142857;1.9657014;0.009201324990798674;0.047619047619047616;0.009201324990798674;0.01542257865515114
5;gftt_harris;2717.0;2733.0;0.014106392;0.005161504573728503;lucid;2717.0;2733.0;0.010751706;0.003934030735455543;HAM;Flann;100.0;2707.0;2707.0;0.119232392;0.14409049000000002;0.0532288474325822;0.0532288474325822;0.9963194700036805;1.0;0.9963194700036805;0.9981563421828907
5;gftt_harris;2717.0;2733.0;0.014106392;0.005161504573728503;latch;2292.0;2292.0;0.00260619;0.0011370811518324607;HAM;Flann;3.888888888888889;35.0;900.0;0.01834815;0.035060732;0.03895636888888889;1.0017352;0.012881854987118146;0.03888888888888889;0.012881854987118146;0.019353055017970695
